generation,best,mean,median,worst,best_score,best_level,best_frames,elapsed_s
1,12350.8,2674.168333333333,-190.3,-198.1,12000,2,3008,14.717509984970093
2,8525.4,5038.465000000002,8525.4,-198.1,8250,2,2254,42.28388833999634
3,11291.6,8448.25666666667,11291.6,-198.1,10950,2,2916,84.48091197013855
4,11291.6,7765.475000000002,11291.6,-198.1,10950,2,2916,124.24298810958862
5,12695.4,7211.456666666669,8528.8,-198.1,12150,3,4454,161.4694471359253
6,13490.5,4657.766666666668,5710.1,-198.1,12900,3,4905,188.11565494537354
7,12692.6,5446.038333333335,6830.1,-198.1,12150,3,4426,217.81491899490356
8,13142.6,5743.350000000002,6830.1,-198.1,12600,3,4426,248.25181603431702
9,13736.5,5004.531666666668,5710.1,-198.1,13350,2,3365,277.10508918762207
10,13641.2,5309.665000000002,6830.1,-198.1,13050,3,4912,305.8446133136749
11,20540.8,9414.196666666669,11291.6,-198.1,19950,3,4908,354.0451910495758
12,20990.6,6666.348333333333,6774.8,-198.1,20400,3,4906,388.2085790634155
13,20990.6,6427.475000000001,6830.1,-198.1,20400,3,4906,421.36871910095215
14,20990.4,12447.571666666669,13894.4,-198.1,20400,3,4904,482.16739416122437
15,14052.9,6734.083333333333,6774.8,-182.6,13650,2,3529,516.6152882575989
16,20990.8,6650.855,6830.1,-198.1,20400,3,4908,550.6198620796204
17,13736.5,5892.519999999999,5710.1,-19.5,13350,2,3365,582.8130393028259
18,19618.2,10613.463333333335,11291.6,-198.1,19050,3,4682,636.4972422122955
19,22212.4,10780.618333333336,11291.6,-195.2,21600,3,5124,690.5054061412811
20,16544.7,7137.798333333331,6830.1,1400.6,16050,3,3947,727.1928610801697
21,26390.6,10673.318333333335,12350.8,-198.1,25650,4,5906,778.5548801422119
22,27927.0,10958.005000000001,12512.7,1365.9,27150,4,6270,832.0199611186981
23,20990.6,10765.19,12512.7,1044.3,20400,3,4906,884.4761211872101
24,25173.2,6163.53833333333,5710.1,1400.6,24450,4,5732,917.576642036438
25,20990.9,6949.713333333332,8528.8,1400.6,20400,3,4909,954.0127949714661
26,26101.8,13862.626666666667,18239.7,-182.2,25350,4,6018,1019.3547389507294
27,26393.4,8468.796666666665,11291.6,1041.0,25650,4,5934,1062.0208840370178
28,25173.2,9817.795,12673.3,1400.6,24450,4,5732,1110.8221180438995
29,21008.1,9198.083333333334,11291.6,1400.6,20250,4,6081,1157.2165250778198
30,22212.4,5947.998333333332,5710.1,1400.6,21600,3,5124,1189.3088352680206
31,29757.5,12799.734999999997,13894.4,1400.6,28950,4,6575,1251.1584830284119
32,20990.8,8938.048333333332,11291.6,-28.400000000000006,20400,3,4908,1297.1236460208893
33,25173.2,10926.743333333336,11291.6,122.30000000000001,24450,4,5732,1351.8908631801605
34,20990.8,8580.719999999998,8528.8,281.1,20400,3,4908,1395.9299800395966
35,33478.1,11929.885,11291.6,1400.6,32550,5,7281,1453.5388669967651
